index,Sell_Date,Model_Eq.,Pred,Model
37,2026-02-01,120AWD,1,longtail
38,2026-03-01,120AWD,1,longtail
39,2026-04-01,120AWD,1,longtail
40,2026-05-01,120AWD,1,longtail
41,2026-06-01,120AWD,1,longtail
42,2026-07-01,120AWD,1,longtail
80,2026-02-01,120GCAWD,0,longtail
81,2026-03-01,120GCAWD,0,longtail
82,2026-04-01,120GCAWD,0,longtail
83,2026-05-01,120GCAWD,0,longtail
84,2026-06-01,120GCAWD,0,longtail
85,2026-07-01,120GCAWD,0,longtail
123,2026-02-01,14,0,longtail
124,2026-03-01,14,0,longtail
125,2026-04-01,14,0,longtail
126,2026-05-01,14,0,longtail
127,2026-06-01,14,0,longtail
128,2026-07-01,14,0,longtail
166,2026-02-01,140,0,longtail
167,2026-03-01,140,0,longtail
168,2026-04-01,140,0,longtail
169,2026-05-01,140,0,longtail
170,2026-06-01,140,0,longtail
171,2026-07-01,140,0,longtail
209,2026-02-01,140AWD,1,longtail
210,2026-03-01,140AWD,1,longtail
211,2026-04-01,140AWD,1,longtail
212,2026-05-01,140AWD,0,longtail
213,2026-06-01,140AWD,1,longtail
214,2026-07-01,140AWD,1,longtail
