index,COD_PRODUTO,COD_COMPONENTE,G1_QUANT
2920,J595.95 - CUSTO,T0933L,1.0
2921,J596.89 - CUSTO,T0934L,1.0
6312,J9801.40.030,T9800,1.0
6313,J9801.40.030HM,T9800,1.0
6314,J9801.40.030NA,T9800,1.0
6315,J9802.40.035,T9800,1.0
6316,J9803.40.035,T9800,1.0
6317,J9804.40.040,T9800,1.0
6390,JK20034,T0912L,1.0
6393,JK20035,T0912L,1.0
6396,JK20036,T0911L,1.0
6397,JK20036,T0922,1.0
6400,JK20037,T0911L,1.0
6401,JK20037,T0922,1.0
6418,JK20045,T475.95,1.0
6419,JK20045,T476.80,1.0
6426,JK20048,T0923,1.0
6429,JK20049,T547.50,1.0
6434,JK20056,T0927,1.0
6436,JK20057,T0925,1.0
6438,JK20058,T0926,1.0
6440,JK20059,T0926,1.0
6473,K20012,T0911,1.0
6476,K20013,T0911,1.0
6479,K20013HM,T0911,1.0
6480,K20013NA,T0911,1.0
6526,K20034,T0912L,1.0
6529,K20035,T0912L,1.0
6532,K20036,T0911L,1.0
6533,K20036,T0922L,1.0
