PEDIDO,COD_FORNE,PRODUTO,DATA_SI,ENTREGA_EFET,QUANTIDADE,MOEDA,PRECO_TOTAL,LEAD_TIME_DIAS
013-117119-P,13808,T99000,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99001,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99002,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99003,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99004,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99005,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99006,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99007,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99008,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99009,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99010,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99011,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99012,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99013,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99014,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99015,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99016,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99017,2025-05-12,2025-07-18,50,US$,2500,67.0
013-117119-P,13808,T99018,2025-05-12,2025-07-18,2,US$,100,67.0
013-117218-P,13808,T99001,2025-06-23,2025-08-22,100,US$,5000,60.0
013-117218-P,13808,T99002,2025-06-23,2025-08-22,100,US$,5000,60.0
013-117218-P,13808,T99004,2025-06-23,2025-08-22,100,US$,5000,60.0
013-117218-P,13808,T99011,2025-06-23,2025-08-22,100,US$,5000,60.0
020-115897-P,5024,T577.89,2024-03-11,2024-08-01,500,US$,2300,143.0
020-115897-P,5024,T580.80,2024-03-11,2024-08-01,250,US$,2562,143.0
020-115897-P,5024,T581.95,2024-03-11,2024-08-01,200,US$,2294,143.0
020-115897-P,5024,T582.81,2024-03-11,2024-08-01,150,US$,958,143.0
020-115897-P,5024,T586.80,2024-03-11,2024-08-01,100,US$,616,143.0
020-115898-P,7909,T4249,2024-03-11,2024-07-17,610,US$,915,128.0
020-115898-P,7909,T4297,2024-03-11,2024-07-17,50,US$,60,128.0
