B1_COD,DATA,QTD_VENDA_NACIONAL,RECEITA_VENDA_NACIONAL,QTD_VENDA_EXPORTACAO,RECEITA_VENDA_EXPORTACAO,NAO_ATENDIDOS_REPO,NAO_ATENDIDOS_EXPO
T70662,2025-09-29,0,0,10,495,0,0
T70662,2025-08-26,0,0,5,248,0,0
T70662,2025-08-21,0,0,10,516,0,0
T70662,2025-08-07,0,0,3,151,0,0
T70662,2025-07-04,0,0,4,200,0,0
T70662,2025-06-23,0,0,5,229,0,0
T70662,2025-06-16,0,0,12,557,0,0
T70662,2025-04-24,0,0,3,158,0,0
T70662,2025-04-08,0,0,5,268,0,0
T70662,2025-01-17,0,0,20,1179,0,0
T70662,2025-01-15,0,0,5,258,0,0
T70662,2024-10-14,0,0,4,195,0,0
T70662,2024-09-11,0,0,2,96,0,0
T70662,2024-09-06,0,0,6,281,0,0
T70662,2024-08-28,0,0,10,458,0,0
T70662,2024-07-29,0,0,3,147,0,0
T70662,2024-04-30,0,0,2,85,0,0
T70662,2024-03-28,0,0,5,207,0,0
T70662,2024-03-21,0,0,25,1155,0,0
T70662,2024-02-27,0,0,10,486,0,0
T70677,2026-02-10,1,83,5,178,0,0
T70677,2026-02-09,8,653,0,0,0,0
T70677,2026-02-06,7,580,0,0,0,0
T70677,2026-02-04,2,167,0,0,0,0
T70677,2026-02-03,2,154,0,0,0,0
T70677,2026-02-02,7,563,0,0,0,0
T70677,2026-01-31,8,656,0,0,0,0
T70677,2026-01-30,3,244,0,0,0,0
T70677,2026-01-29,2,165,0,0,0,0
T70677,2026-01-28,7,557,0,0,0,0
