Classifica__o,Erro_XGBoost,Erro_Baseline,Redu__o_Absoluta,Redu__o_Percentual
GERAL,100653207.80289526,121405456.32436484,20752248.52146958,17.09334090061388
ABC-A,66163749.10283238,87355074.81858718,21191325.715754807,24.25883757728266
ABC-B,22646796.70382676,22801940.314287156,155143.61046039686,0.6803965290760259
ABC-C,11842661.996236125,11248441.1914905,-594220.8047456257,-5.282694683021116
XYZ-X,31154910.838984706,42872487.475976914,11717576.636992209,27.33122645043167
XYZ-Y,44082636.86012646,51793236.76332552,7710599.903199062,14.887271746373825
XYZ-Z,25415660.10378409,26739732.08506241,1324071.981278319,4.951702496742605
AX,28184813.130988657,40051174.10749206,11866360.976503402,29.627997782675873
AY,28178195.67217628,35927553.320384316,7749357.648208037,21.569399895125233
AZ,9800740.299667438,11376347.390710797,1575607.0910433587,13.849850368756314
BX,2970097.7079960494,2821313.368484848,-148784.33951120125,-5.273584323286429
BY,12215145.10894613,12320435.531075036,105290.42212890647,0.8545998383201574
BZ,7461553.886884578,7660191.414727273,198637.52784269582,2.5931144156633055
CY,3689296.0790040484,3545247.9118661615,-144048.16713788686,-4.063133826431399
CZ,8153365.917232074,7703193.279624337,-450172.6376077365,-5.843974326835146
