Classifica__o,XGB_WMAPE,BASE_WMAPE,Melhoria,XGB_R2
GERAL,34.94905368366128,43.479822165534934,19.62006295562938,0.9013503318268709
ABC-A,27.241243092257477,34.938614747622324,22.03113005757812,0.8522477679047104
ABC-B,54.50557711881267,54.78758172681148,0.5147235908403223,0.581286873942634
ABC-C,34.789371740271726,44.88073062054643,22.48483645597088,0.9069687015060443
XYZ-X,35.52613664214671,43.39962424906674,18.141833583016197,0.9063685922190967
XYZ-Z,32.808489359515306,43.77729897772976,25.05593052644584,0.8805149445227065
ABC-XYZ-AX,26.95254967611972,34.98108375831483,22.951073036114174,0.8586481996776629
ABC-XYZ-AZ,32.12694261201836,34.21989096125753,6.116174804907263,0.45395453765748917
ABC-XYZ-BX,54.502836650956574,55.14061998915899,1.1566488340678902,0.590567827394187
ABC-XYZ-CX,35.80793965297949,45.09901452711308,20.601503096143897,0.9138623363290715
