COD_MTE_COMP,DATA_PEDIDO,QTDE_PEDIDA,VALOR_UNITARIO,_next_month,base_date
K20012,2026-03-01,2.9840285778045654,146.99,2026-04-01,2026-02-01
K20013,2026-03-01,121.25386047363281,159.13,2026-04-01,2026-02-01
K20034,2026-03-01,439.4671936035156,203.6,2026-04-01,2026-02-01
K20035,2026-03-01,207.6894989013672,235.66,2026-04-01,2026-02-01
K20036,2026-03-01,31.308042526245117,277.02,2026-04-01,2026-02-01
K20037,2026-03-01,179.76324462890625,285.02,2026-04-01,2026-02-01
K20045,2026-03-01,7.439213752746582,185.78,2026-04-01,2026-02-01
K20048,2026-03-01,137.2041473388672,142.83,2026-04-01,2026-02-01
K20049,2026-03-01,27.23805046081543,185.11,2026-04-01,2026-02-01
K20051,2026-03-01,175.71682739257812,142.83,2026-04-01,2026-02-01
K20054,2026-03-01,114.89604187011719,130.63,2026-04-01,2026-02-01
K20055,2026-03-01,97.30155181884766,166.15,2026-04-01,2026-02-01
K20055F,2026-03-01,0.37879621982574463,0.0,2026-04-01,2026-02-01
K20055S,2026-03-01,0.37879621982574463,0.0,2026-04-01,2026-02-01
K20056,2026-03-01,23.392091751098633,286.91,2026-04-01,2026-02-01
K20057,2026-03-01,2.416142225265503,71.32,2026-04-01,2026-02-01
K20058,2026-03-01,0.37879621982574463,0.0,2026-04-01,2026-02-01
K20059,2026-03-01,0.37879621982574463,0.0,2026-04-01,2026-02-01
K20060,2026-03-01,0.4497862756252289,0.0,2026-04-01,2026-02-01
K20061,2026-03-01,0.37879621982574463,0.0,2026-04-01,2026-02-01
K20062,2026-03-01,8.08590030670166,147.23,2026-04-01,2026-02-01
K20063,2026-03-01,69.19210815429688,284.99,2026-04-01,2026-02-01
K20065,2026-03-01,0.37879621982574463,0.0,2026-04-01,2026-02-01
K20066,2026-03-01,0.37879621982574463,0.0,2026-04-01,2026-02-01
K20068,2026-03-01,6.919307708740234,211.26,2026-04-01,2026-02-01
K20069,2026-03-01,6.181257247924805,267.49,2026-04-01,2026-02-01
K20070,2026-03-01,6.794557571411133,351.74,2026-04-01,2026-02-01
K20071,2026-03-01,6.512431621551514,347.35,2026-04-01,2026-02-01
K20072,2026-03-01,8.158492088317871,204.52,2026-04-01,2026-02-01
K20073,2026-03-01,5.381612777709961,292.17,2026-04-01,2026-02-01
