NR_DO_PEDIDO_MTE,DATA_PEDIDO,CODIGO_MTE,QTDE_PEDIDA,QTDE_ENTREGUE,QTDE_SALDO,VALOR_UNITARIO_R$,VALOR_FATURADO_R$,VALOR_SALDO_R$,VALOR_PEDIDO_R$,NR._PEDIDO_CLIENTE,NOTA_FISCAL,DATA_NOTA_FISCAL,CODIGO_REPRESENTANTE,CODIGO_MERCADO,CODIGO_CLIENTE,COD_MTE_COMP,CODIGO_MTE_ORIG_EXP
17507,2025-01-02,3000,1.0,1.0,0.0,25.5,25.5,0.0,25.5,1044388.0,13521.0,2025-01-16,117,R,3981,R3000,nan
17507,2025-01-02,3005,4.0,4.0,0.0,23.38,93.52,0.0,93.52,1044388.0,13521.0,2025-01-16,117,R,3981,R3005,nan
17507,2025-01-02,3018,5.0,5.0,0.0,23.35,116.75,0.0,116.75,1044388.0,13521.0,2025-01-16,117,R,3981,R3018,nan
17507,2025-01-02,3029,4.0,4.0,0.0,20.88,83.52,0.0,83.52,1044388.0,13521.0,2025-01-16,117,R,3981,R3029,nan
17507,2025-01-02,3041,1.0,1.0,0.0,30.72,30.72,0.0,30.72,1044388.0,13521.0,2025-01-16,117,R,3981,R3041,nan
17507,2025-01-02,3042,3.0,3.0,0.0,33.16,99.48,0.0,99.48,1044388.0,13521.0,2025-01-16,117,R,3981,R3042,nan
17507,2025-01-02,3046,2.0,2.0,0.0,32.7,65.4,0.0,65.4,1044388.0,13521.0,2025-01-16,117,R,3981,R3046,nan
17507,2025-01-02,3050,2.0,2.0,0.0,50.2,100.4,0.0,100.4,1044388.0,13521.0,2025-01-16,117,R,3981,R3050,nan
17507,2025-01-02,3060,1.0,1.0,0.0,54.13,54.13,0.0,54.13,1044388.0,13521.0,2025-01-16,117,R,3981,R3060,nan
17507,2025-01-02,3088,3.0,3.0,0.0,51.0,153.0,0.0,153.0,1044388.0,13521.0,2025-01-16,117,R,3981,R3088,nan
17507,2025-01-02,3171,1.0,0.0,1.0,14.85,0.0,14.85,14.85,1044388.0,nan,1900-01-01,117,R,3981,R3171,nan
17507,2025-01-02,4000,2.0,2.0,0.0,35.8,71.6,0.0,71.6,1044388.0,13521.0,2025-01-16,117,R,3981,R4000,nan
17507,2025-01-02,4005,1.0,1.0,0.0,35.8,35.8,0.0,35.8,1044388.0,13521.0,2025-01-16,117,R,3981,R4005,nan
17507,2025-01-02,4008,3.0,3.0,0.0,33.41,100.23,0.0,100.23,1044388.0,13521.0,2025-01-16,117,R,3981,R4008,nan
17507,2025-01-02,4014,25.0,25.0,0.0,36.64,916.0,0.0,916.0,1044388.0,13521.0,2025-01-16,117,R,3981,R4014,nan
17507,2025-01-02,4020,1.0,1.0,0.0,78.75,78.75,0.0,78.75,1044388.0,13521.0,2025-01-16,117,R,3981,R4020,nan
17507,2025-01-02,4027,3.0,3.0,0.0,59.27,177.81,0.0,177.81,1044388.0,13521.0,2025-01-16,117,R,3981,R4027,nan
17507,2025-01-02,4034,6.0,6.0,0.0,23.76,142.56,0.0,142.56,1044388.0,13521.0,2025-01-16,117,R,3981,R4034,nan
17507,2025-01-02,4037,2.0,2.0,0.0,32.67,65.34,0.0,65.34,1044388.0,13521.0,2025-01-16,117,R,3981,R4037,nan
17507,2025-01-02,4039,1.0,1.0,0.0,44.17,44.17,0.0,44.17,1044388.0,13521.0,2025-01-16,117,R,3981,R4039,nan
17507,2025-01-02,4046,5.0,5.0,0.0,37.67,188.35,0.0,188.35,1044388.0,13521.0,2025-01-16,117,R,3981,R4046,nan
17507,2025-01-02,4050,20.0,20.0,0.0,22.68,453.6,0.0,453.6,1044388.0,13521.0,2025-01-16,117,R,3981,R4050,nan
17507,2025-01-02,4051,25.0,25.0,0.0,22.68,567.0,0.0,567.0,1044388.0,13521.0,2025-01-16,117,R,3981,R4051,nan
17507,2025-01-02,4053,20.0,20.0,0.0,22.68,453.6,0.0,453.6,1044388.0,13521.0,2025-01-16,117,R,3981,R4053,nan
17507,2025-01-02,4056,3.0,3.0,0.0,41.54,124.62,0.0,124.62,1044388.0,13521.0,2025-01-16,117,R,3981,R4056,nan
17507,2025-01-02,4058,10.0,10.0,0.0,46.38,463.8,0.0,463.8,1044388.0,13521.0,2025-01-16,117,R,3981,R4058,nan
17507,2025-01-02,4067,15.0,15.0,0.0,40.02,600.3,0.0,600.3,1044388.0,13521.0,2025-01-16,117,R,3981,R4067,nan
17507,2025-01-02,4076,3.0,0.0,3.0,68.97,0.0,206.91,206.91,1044388.0,nan,1900-01-01,117,R,3981,R4076,nan
17507,2025-01-02,4079,1.0,1.0,0.0,45.34,45.34,0.0,45.34,1044388.0,13521.0,2025-01-16,117,R,3981,R4079,nan
17507,2025-01-02,4092,20.0,20.0,0.0,43.88,877.6,0.0,877.6,1044388.0,13521.0,2025-01-16,117,R,3981,R4092,nan
